Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1711584000,0,"2024-03-28 00:00:00",1.081665,1.081665,1.081431,1.081431,
1711584300,0,"2024-03-28 00:05:00",1.081431,1.081431,1.081314,1.081314,
1711584600,0,"2024-03-28 00:10:00",1.081314,1.081314,1.081081,1.081081,
1711584900,0,"2024-03-28 00:15:00",1.081081,1.081197,1.081081,1.081197,
1711585200,0,"2024-03-28 00:20:00",1.081197,1.081431,1.081197,1.081431,
1711585500,0,"2024-03-28 00:25:00",1.081548,1.081665,1.081548,1.081665,
1711585800,0,"2024-03-28 00:30:00",1.081782,1.081782,1.081782,1.081782,
1711586100,0,"2024-03-28 00:35:00",1.081782,1.081899,1.081782,1.081782,
1711586400,0,"2024-03-28 00:40:00",1.081782,1.081782,1.081782,1.081782,
1711586700,0,"2024-03-28 00:45:00",1.081782,1.081899,1.081782,1.081899,
1711587000,0,"2024-03-28 00:50:00",1.081899,1.082134,1.081899,1.082134,
1711587300,0,"2024-03-28 00:55:00",1.082134,1.082134,1.081899,1.082016,
1711587600,0,"2024-03-28 01:00:00",1.082016,1.082016,1.082016,1.082016,
1711587672,0,"2024-03-28 01:01:12",1.082016,1.082016,1.082016,1.082016,
1711587900,0,"2024-03-28 01:05:00",1.082016,1.082016,1.081899,1.082016,
1711588200,0,"2024-03-28 01:10:00",1.081899,1.082016,1.081899,1.082016,
1711588500,0,"2024-03-28 01:15:00",1.082134,1.082134,1.082016,1.082016,
1711588800,0,"2024-03-28 01:20:00",1.081899,1.082016,1.081899,1.081899,
1711589100,0,"2024-03-28 01:25:00",1.081899,1.082134,1.081899,1.082016,
1711589400,0,"2024-03-28 01:30:00",1.082134,1.082134,1.081899,1.081899,
1711589700,0,"2024-03-28 01:35:00",1.081899,1.081899,1.081899,1.081899,
1711590000,0,"2024-03-28 01:40:00",1.082016,1.082016,1.081899,1.081899,
1711590300,0,"2024-03-28 01:45:00",1.081782,1.082134,1.081782,1.082134,
1711590600,0,"2024-03-28 01:50:00",1.082016,1.082016,1.082016,1.082016,
1711590900,0,"2024-03-28 01:55:00",1.082016,1.082134,1.081899,1.082134,
1711591200,0,"2024-03-28 02:00:00",1.082134,1.082134,1.082134,1.082134,
1711591500,0,"2024-03-28 02:05:00",1.082251,1.082251,1.082134,1.082134,
1711591800,0,"2024-03-28 02:10:00",1.082016,1.082485,1.082016,1.082485,
1711592100,0,"2024-03-28 02:15:00",1.082602,1.082719,1.082602,1.082719,
1711592400,0,"2024-03-28 02:20:00",1.082719,1.082836,1.082719,1.082719,
1711592700,0,"2024-03-28 02:25:00",1.082602,1.082836,1.082602,1.082719,
1711593000,0,"2024-03-28 02:30:00",1.082719,1.082836,1.082719,1.082719,
1711593300,0,"2024-03-28 02:35:00",1.082719,1.082719,1.082602,1.082719,
1711593600,0,"2024-03-28 02:40:00",1.082719,1.082719,1.082602,1.082602,
1711593900,0,"2024-03-28 02:45:00",1.082602,1.082602,1.082368,1.082485,
1711594200,0,"2024-03-28 02:50:00",1.082602,1.082602,1.082485,1.082485,
1711594500,0,"2024-03-28 02:55:00",1.082602,1.082602,1.082485,1.082485,
1711594800,0,"2024-03-28 03:00:00",1.082602,1.082602,1.082368,1.082368,
1711595100,0,"2024-03-28 03:05:00",1.082485,1.082602,1.082485,1.082485,
1711595400,0,"2024-03-28 03:10:00",1.082602,1.082602,1.082485,1.082602,
1711595700,0,"2024-03-28 03:15:00",1.082719,1.082719,1.082719,1.082719,
1711596000,0,"2024-03-28 03:20:00",1.082719,1.082719,1.082602,1.082602,
1711596300,0,"2024-03-28 03:25:00",1.082602,1.082602,1.082602,1.082602,
1711596600,0,"2024-03-28 03:30:00",1.082719,1.082719,1.082602,1.082602,
1711596900,0,"2024-03-28 03:35:00",1.082602,1.082602,1.082602,1.082602,
1711597200,0,"2024-03-28 03:40:00",1.082602,1.082602,1.082602,1.082602,
1711597500,0,"2024-03-28 03:45:00",1.082602,1.082602,1.082485,1.082485,
1711597800,0,"2024-03-28 03:50:00",1.082485,1.082485,1.082485,1.082485,
1711598100,0,"2024-03-28 03:55:00",1.082485,1.082485,1.082485,1.082485,
1711598400,0,"2024-03-28 04:00:00",1.082485,1.082485,1.082368,1.082485,
1711598700,0,"2024-03-28 04:05:00",1.082485,1.082485,1.082368,1.082368,
1711599000,0,"2024-03-28 04:10:00",1.082368,1.082485,1.082368,1.082485,
